nome_dwc, nome_reflora, nome_reflora_eng
"imageCollectionCode","Origem Imagem","Origin Image"
"catalogNumber","Código de Barra","Barcode"
"collectionCode","Herbário de Origem","Herbarium of Origin"
"virtualDuplicates","Duplicatas Associadas no Herbário Virtual","Associated duplicates in Virtual Herbarium"
"duplicates","Duplicatas Indicadas na Exsicata","Indicated duplicates the voucher specimen"
"taxonRank","Rank:","Rank:"
"verbatimScientificName","Nome Científico","Scientific Name"
"DeterminationQualifier","Qualificador da Determinação (cf., aff. ou !)","Determination qualifier (cf., aff. ou !)"
"family","Família","Family"
"genus","Gênero","Genus"
"species","Espécie","Species"
"infraspecificEpithet","subsp./var./forma","subsp./var./forma"
"scientificNameAuthorship","Autor do Táxon","Author of Taxon"
"identifiedBy","Determinador","Determiner"
"dateIdentified","Data da Determinação","Determination Date"
"typeStatus","Typus","Type"
"recordedBy","Coletor","Collector"
"recordedByExtra","Outros Coletores","Other Collectors"
"recordNumber","Número da Coleta","Collection Number"
"dateCollected","De:","From:"
"dateCollectedMax","Até:","To:"
"occurrenceRemarks","Descrição da Planta","Plant description"
"country","País","Country"
"stateProvince","Estado","State"
"municipality","Município","City"
"locality","Descrição da Localidade","Description of Location"
"verbatimElevation","Elevação Mínima","Elevation Minimum"
"verbatimElevationMax","Elevação Máxima","Elevation Maximum"
"measurementUnit","Unidade de Medida","Measurement unit"
"verbatimLatitude","Latitude Mínima","Latitude Minimum"
"verbatimLatitudeMax","Latitude Máxima","Latitude Maximum"
"verbatimLongitude","Longitude Mínima","Longitude Minimum"
"verbatimLongitudeMax","Longitude Máxima","Longitude Maximum"
"fieldNotes","Observações","Comments"
"updatedBy","Atualizado por","Updated by"
"dateUpdated","Atualizado em","Updated"
